company,sector,horizon_days,amount,date_BUY_fix,date_SELL_fix,price_BUY,price_SELL,Volatility_Buy,Volatility_sell,Sharpe_Ratio,expected_return_yearly,inflation,nominal_return,investment,ESG_ranking,PE_ratio,EPS_ratio,PS_ratio,PB_ratio,NetProfitMargin_ratio,current_ratio,roa_ratio,roe_ratio
KSS,RETAIL,240,3000,2017-02-14,2017-10-12,35.82682037353516,37.06562805175781,0.4239309801452144,0.4077396033814779,0.4239309801452144,0.0045071182843792,1.96,0.0345776617993638,0,12.9,10.64,3.13,0.3,1.12,2.83,1.76,4.09,10.69
TGT,RETAIL,100,25000,2017-09-21,2017-12-29,53.067626953125,59.979000091552734,0.2619699169859422,0.3030050330282892,0.2619699169859422,0.0312661595842101,1.96,0.1302370868125043,0,14.8,10.27,4.96,0.41,2.52,3.92,0.92,7.23,25.16
SC,BANK,2,50,2018-02-09,2018-02-12,14.625669479370115,14.993104934692385,0.2603559120168083,0.2614270616871128,0.2603559120168083,6.295698843445322e-05,1.68,0.0251226417936315,0,26.9,5.12,3.3,0.86,0.94,16.47,0.89,2.99,20.01
DB,BANK,120,3000,2014-08-04,2014-12-02,31.67441177368164,30.54016876220703,0.2297216377749248,0.239951315726437,0.2297216377749248,-0.0463336076091964,-0.15,-0.0358094420057093,0,30.0,0.0,-0.07,0.65,0.5,0.14,0.74,0.0,0.1
TGT,RETAIL,240,400,2014-07-03,2015-02-27,48.57829666137695,64.20314025878906,0.1782513317315664,0.1982772725146697,0.1782513317315664,0.0750387830021043,-0.15,0.321642475575619,1,14.8,20.44,2.38,0.44,1.88,2.13,1.02,3.38,9.27
GOOG,TECH,20,15000,2016-05-12,2016-06-01,713.3099975585938,734.1500244140625,0.2986633732347316,0.2987655103082586,0.2986633732347316,0.0104864894209989,-0.2,0.0292159466806812,1,22.8,31.38,23.74,7.12,4.14,21.18,5.14,11.39,14.0
DB,BANK,80,200,2015-05-15,2015-08-03,31.2619571685791,33.54234313964844,0.2635404013916444,0.29314966396137,0.2635404013916444,-0.0308890717394642,-0.5,0.0729444403871589,1,30.0,34.49,0.96,0.77,0.52,2.41,0.61,0.06,1.44
AAPL,TECH,10,50,2014-01-13,2014-01-23,17.070167541503906,17.721776962280273,0.2866966541603571,0.2818296234782608,0.2866966541603571,0.0067332089607795,-0.15,0.038172409215789,1,16.5,12.41,1.44,2.66,3.44,21.28,1.49,17.92,28.93
AXP,BANK,70,5000,2015-10-15,2015-12-24,70.45706939697266,64.41578674316406,0.2131962420811904,0.2141123230517416,0.2131962420811904,0.0282362508670049,-0.5,-0.0857441659937699,0,19.8,12.27,5.53,1.97,3.13,15.98,2.02,3.59,26.2
BBY,RETAIL,660,1500,2015-07-29,2017-05-19,27.273027420043945,46.55467987060547,0.3339165409561266,0.3445766336834541,0.3339165409561266,0.4742930853318323,-0.5,0.7069861425208238,1,12.0,10.61,2.58,0.24,2.04,2.28,1.46,6.31,19.28
